Basic - Area,Basic - Perimeter,Basic - Circularity,Curve - Max Dff,Curve - Duration 50% to 50%,Curve - Duration 10% to 10%,Curve - Rising duration 10% to 90%,Curve - Decaying duration 90% to 10%,Curve - dat AUC,Curve - dff AUC,Curve - Decay tau,Propagation - onset - overall,Propagation - offset - overall,Network - Temporal density,Network - Temporal density with similar size only,Network - Spatial density,cell - event average distance - landmark,cell - event minimum distance - landmark,cell - event toward landmark - landmark,cell - event away from landmark - landmark,Source,Path
15.801723,35.861544,6.476549056,4.814074355,5.24,5.24,1.31,3.93,0.526015997,13.74597033,2.418910386,0,0,1,1,2,0.394565584,0.394565584,0,0,EGFR,\\sag-granule\alina\1 NSC Ca activity\2-photon\1 Descriptive_sources\4i data\2021_09_09\20210909_16_26_19_GFAP_GCaMP6s_P2_mcherry_slice2_P\processed\cell1.xls
13.388652,26.509743,4.176998482,5.288411569,5.24,6.55,2.62,3.93,0.630813956,15.46528415,2.625833469,0,0,2,1,3,48.7795417,48.7795417,0,0,GFAP,\\sag-granule\alina\1 NSC Ca activity\2-photon\1 Descriptive_sources\4i data\2021_09_09\20210909_16_26_19_GFAP_GCaMP6s_P2_mcherry_slice2_P\processed\cell1.xls
2.646594,8.359677,2.101269745,2.885264834,2.62,7.86,1.31,6.55,0.405943662,6.24476827,2.584733991,0,0.236036345,2,1,2,12.72720631,12.690667,0,0,Ki67,\\sag-granule\alina\1 NSC Ca activity\2-photon\1 Descriptive_sources\4i data\2021_09_09\20210909_16_26_19_GFAP_GCaMP6s_P2_mcherry_slice2_P\processed\cell2.xls
12.221037,30.095172,5.897605744,3.418176696,3.93,5.24,2.62,2.62,0.32829085,7.471061882,1.142033424,0,0,2,1,3,3.627,3.627,0,0,EGFR,\\sag-granule\alina\1 NSC Ca activity\2-photon\1 Descriptive_sources\4i data\2021_09_09\20210909_16_26_19_GFAP_GCaMP6s_P2_mcherry_slice2_P\processed\cell2.xls
2.646594,8.359677,2.101269745,2.885264834,2.62,7.86,1.31,6.55,0.405943662,6.24476827,2.584733991,0,0.236036345,2,1,2,12.72720631,12.690667,0,0,EGFR,\\sag-granule\alina\1 NSC Ca activity\2-photon\1 Descriptive_sources\4i data\2021_09_09\20210909_16_26_19_GFAP_GCaMP6s_P2_mcherry_slice2_P\processed\cell2.xls
1.089774,3.398778,0.843527587,2.562652152,2.62,13.1,5.24,7.86,0.614583373,8.050480582,5.43282738,0.142821429,0,2,2,2,26.38953717,26.36955921,0.126532021,0,DCX,\\sag-granule\alina\1 NSC Ca activity\2-photon\1 Descriptive_sources\4i data\2021_09_09\20210909_16_26_19_GFAP_GCaMP6s_P2_mcherry_slice2_P\processed\cell2.xls
63.879831,92.048496,10.55503727,5.4442881,3.93,7.86,2.62,5.24,0.74136728,14.86644723,2.508021934,8.997914593,6.505384617,60,2,5,1.267133927,0,19.53585586,1.319765454,Ki67,\\sag-granule\alina\1 NSC Ca activity\2-photon\1 Descriptive_sources\4i data\2021_09_13\20210913_13_54_31_GFAP_GCaMP6f_P2_mcherry_slice1_P\20210913_14_04_45_GFAP_GCaMP6f_P2_mcherry_slice1\processed\cell1.xls
17.418924,37.04079,6.268004405,4.797149716,3.93,11.79,1.31,10.48,1.241225958,17.73017894,4.813388556,0.119141995,0.323449579,37,4,6,4.187574505,2.655,0.703132397,0.229978629,Ki67,\\sag-granule\alina\1 NSC Ca activity\2-photon\1 Descriptive_sources\4i data\2021_09_13\20210913_13_54_31_GFAP_GCaMP6f_P2_mcherry_slice1_P\20210913_14_04_45_GFAP_GCaMP6f_P2_mcherry_slice1\processed\cell1.xls
16.948989,42.32955,8.412665892,6.126018581,3.93,6.55,2.62,3.93,0.558435857,14.61699649,2.313868202,0,0,13,1,10,8.025735107,8.025735107,0,0,Ki67,\\sag-granule\alina\1 NSC Ca activity\2-photon\1 Descriptive_sources\4i data\2021_09_13\20210913_13_54_31_GFAP_GCaMP6f_P2_mcherry_slice1_P\20210913_14_04_45_GFAP_GCaMP6f_P2_mcherry_slice1\processed\cell1.xls
8.646804,19.382562,3.457457775,3.787003627,9.17,9.17,3.93,5.24,0.836374044,16.07325346,3.205231048,0.025095184,0.098561793,23,4,7,7.469735537,7.469735537,0.031107025,0,Ki67,\\sag-granule\alina\1 NSC Ca activity\2-photon\1 Descriptive_sources\4i data\2021_09_13\20210913_13_54_31_GFAP_GCaMP6f_P2_mcherry_slice1_P\20210913_14_04_45_GFAP_GCaMP6f_P2_mcherry_slice1\processed\cell1.xls
4.448718,14.910657,3.976937985,2.768183664,3.93,37.99,2.62,35.37,2.38646841,40.98418587,70.98171012,1.483893642,0.676064534,13,3,13,4.157869538,2.678496033,0.011090466,0.022180932,Ki67,\\sag-granule\alina\1 NSC Ca activity\2-photon\1 Descriptive_sources\4i data\2021_09_13\20210913_13_54_31_GFAP_GCaMP6f_P2_mcherry_slice1_P\20210913_14_04_45_GFAP_GCaMP6f_P2_mcherry_slice1\processed\cell1.xls
2.537649,12.966666,5.272483544,3.288404635,3.93,27.51,11.79,15.72,1.158993125,20.11933786,4.46058033,0.932352479,0.664760565,13,3,7,3.508655779,3.367654674,0.205173621,0.16635699,Ki67,\\sag-granule\alina\1 NSC Ca activity\2-photon\1 Descriptive_sources\4i data\2021_09_13\20210913_13_54_31_GFAP_GCaMP6f_P2_mcherry_slice1_P\20210913_14_04_45_GFAP_GCaMP6f_P2_mcherry_slice1\processed\cell1.xls
9.868635,30.427185,7.465460459,4.005557312,3.93,10.48,2.62,7.86,0.702359319,11.04368271,2.528552243,1.210278838,1.237965079,26,6,10,7.27135513,7.126311037,0.033271398,0,Ki67,\\sag-granule\alina\1 NSC Ca activity\2-photon\1 Descriptive_sources\4i data\2021_09_13\20210913_13_54_31_GFAP_GCaMP6f_P2_mcherry_slice1_P\20210913_14_04_45_GFAP_GCaMP6f_P2_mcherry_slice1\processed\cell1.xls
2.067714,11.294901,4.909808179,4.34797582,6.55,18.34,11.79,6.55,0.644266248,14.84122918,3.478207123,2.677903727,0,19,3,9,7.774062757,7.172323055,0,0,Ki67,\\sag-granule\alina\1 NSC Ca activity\2-photon\1 Descriptive_sources\4i data\2021_09_13\20210913_13_54_31_GFAP_GCaMP6f_P2_mcherry_slice1_P\20210913_14_04_45_GFAP_GCaMP6f_P2_mcherry_slice1\processed\cell1.xls
4.887324,20.339778,6.736144919,3.825465984,2.62,3.93,1.31,2.62,0.453821093,11.27082619,1.118242453,0.832374333,0.077189349,9,4,7,4.394472868,4.371577518,0.00997631,0.294954292,Ki67,\\sag-granule\alina\1 NSC Ca activity\2-photon\1 Descriptive_sources\4i data\2021_09_13\20210913_13_54_31_GFAP_GCaMP6f_P2_mcherry_slice1_P\20210913_14_04_45_GFAP_GCaMP6f_P2_mcherry_slice1\processed\cell1.xls
3.853467,17.107758,6.044003238,2.041693502,5.24,32.75,14.41,18.34,0.965247929,11.87475925,9.591680539,3.143645739,0.291254093,23,4,14,9.071806161,7.741600416,0.099814194,0.665408561,Ki67,\\sag-granule\alina\1 NSC Ca activity\2-photon\1 Descriptive_sources\4i data\2021_09_13\20210913_13_54_31_GFAP_GCaMP6f_P2_mcherry_slice1_P\20210913_14_04_45_GFAP_GCaMP6f_P2_mcherry_slice1\processed\cell1.xls
2.349675,14.058579,6.693683772,2.753076591,5.24,11.79,7.86,3.93,0.552104592,10.24792578,1.065493345,1.277333833,0.070369798,17,5,8,4.142207473,3.894,0,0,Ki67,\\sag-granule\alina\1 NSC Ca activity\2-photon\1 Descriptive_sources\4i data\2021_09_13\20210913_13_54_31_GFAP_GCaMP6f_P2_mcherry_slice1_P\20210913_14_04_45_GFAP_GCaMP6f_P2_mcherry_slice1\processed\cell1.xls
